circuit_id,width,depth,n_rx,n_ry,n_rz,n_cx,state_hamming_weight,f_state_prob_p25,f_state_prob_p50,f_state_prob_p75,fr_state_error_p25,fr_state_error_p50,fr_state_error_p75,fr_program_error_p25,fr_program_error_p50,fr_program_error_p75,state_bitstring,true_probability
2,4,8,0,3,1,12,2,0.4025,0.415,0.4175,0.0,0.0,0.0,0.11750000000000005,0.13249999999999995,0.14500000000000002,1100,0.46659103602959384
2,4,8,0,3,1,12,3,0.18,0.1925,0.21,0.0,0.0,0.0,0.11750000000000005,0.13249999999999995,0.14500000000000002,1110,0.19342591404031897
3,5,10,9,6,2,14,0,0.05,0.055,0.0625,0.15249999999999997,0.15749999999999997,0.16000000000000003,0.15249999999999997,0.15749999999999997,0.16000000000000003,00000,0.06231371932621898
3,5,10,9,6,2,14,1,0.12,0.125,0.145,0.06,0.075,0.08,0.15249999999999997,0.15749999999999997,0.16000000000000003,00001,0.14705841151009977
3,5,10,9,6,2,14,1,0.07,0.0725,0.0775,0.02,0.02,0.02,0.15249999999999997,0.15749999999999997,0.16000000000000003,00010,0.07212706539584324
3,5,10,9,6,2,14,2,0.0275,0.0275,0.0275,0.0,0.0025,0.0025,0.15249999999999997,0.15749999999999997,0.16000000000000003,00011,0.015789459226198423
3,5,10,9,6,2,14,1,0.0175,0.0175,0.02,0.0075,0.01,0.015,0.15249999999999997,0.15749999999999997,0.16000000000000003,00100,0.01083641348005127
3,5,10,9,6,2,14,2,0.045,0.0475,0.055,0.0,0.0,0.0025,0.15249999999999997,0.15749999999999997,0.16000000000000003,00101,0.04777768489190272
3,5,10,9,6,2,14,2,0.095,0.0975,0.1025,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,00110,0.12050333334952547
3,5,10,9,6,2,14,3,0.05,0.06,0.06,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,00111,0.051642078589867704
3,5,10,9,6,2,14,1,0.0175,0.02,0.0225,0.0175,0.0175,0.0225,0.15249999999999997,0.15749999999999997,0.16000000000000003,01000,0.016617978954412825
3,5,10,9,6,2,14,2,0.02,0.0225,0.03,0.0,0.0025,0.0025,0.15249999999999997,0.15749999999999997,0.16000000000000003,01001,0.022170128008988727
3,5,10,9,6,2,14,2,0.02,0.0275,0.03,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,01010,0.02672175973303955
3,5,10,9,6,2,14,3,0.0025,0.005,0.005,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,01011,0.0006238369967678458
3,5,10,9,6,2,14,2,0.005,0.005,0.0075,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,01100,0.0025585419695631287
3,5,10,9,6,2,14,3,0.0125,0.0125,0.015,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,01101,0.013141245925900692
3,5,10,9,6,2,14,3,0.0075,0.01,0.01,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,01110,0.007108093998337048
3,5,10,9,6,2,14,4,0.0175,0.02,0.0225,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,01111,0.021102870744373788
3,5,10,9,6,2,14,1,0.0075,0.01,0.0125,0.025,0.0275,0.035,0.15249999999999997,0.15749999999999997,0.16000000000000003,10000,0.00037720556929317427
3,5,10,9,6,2,14,2,0.0375,0.04,0.0525,0.0,0.0,0.0025,0.15249999999999997,0.15749999999999997,0.16000000000000003,10001,0.048252646801832645
3,5,10,9,6,2,14,2,0.0775,0.0775,0.085,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,10010,0.10127274821498096
3,5,10,9,6,2,14,3,0.0075,0.0075,0.01,0.0,0.0,0.0,0.15249999999999997,0.15749999999999997,0.16000000000000003,10011,0.003065206656227179
